Pojem česky	Definice česky
 Typ uspořádání	"Uspořádání koncové komory.
Jednokanálové: Do koncové komory proudí teplý nebo studený vzduch z potrubí s jednoduchým přívodem vzduchu.
Dvoukanálové: Do koncové komory proudí teplý a studený vzduch z oddělených kanálů pro přívod vzduchu."
 Typ dodatečného ohřevu	Typ dodatečného ohřevu v koncové komoře.
 Má tlumič zvuku	Koncová komora je vybavena tlumičem zvuku.
 Má vratný vzduch	V koncové komoře se vratný vzduch míchá se vzduchem přiváděným z kanálového vedení.
 Má ventilátor	Uvnitř koncové komory je ventilátor (komora s ventilátorem).
 Jmenovitý tlak přiváděného vzduchu	Jmenovitý statický tlak přiváděného průtoku vzduchu.
 Jmenovitý průměr klapky	Jmenovitý průměr klapky.
 Tloušťka skříně	Tloušťka materiálu skříně koncové vzduchové komory.
 Rozsah provozní teploty	Přípustný provozní rozsah okolní teploty vzduchu.
 Rozsah frakce vratného vzduchu	Přípustný rozsah frakce vratného vzduchu jako frakce výtlačného průtoku vzduchu.
	
 Výskyt vzduchové koncovky	Atributy výskytu vzduchové koncovky připojené k instanci IfcAirTerminal.
 Typ průtoku vzduchu	Výčet definující typ funkce proudění vzduchu komorou.
 Průtoková rychlost vzduchu	Skutečná průtoková rychlost vzduchu dle návrhu.
 Umístění	Umístění (v několika místech lze použít jeden typ difuzoru); vysoko znamená blízko stropu. 
	
 Historie provozu vzduchové koncovky	Všeobecné atributy historie provozu vzduchové koncovky.
 Průtoková rychlost vzduchu	Objemová průtoková rychlost.
 Rychlost vzduchu v hrdle	Rychlost vzduchu v hrdle.
 Teplota přiváděného vzduchu - ohřev	Teplota přiváděného vzduchu v režimu ohřevu.
 Teplota přiváděného vzduchu - chlazení	Teplota přiváděného vzduchu v režimu chlazení.
 Pokles tlaku	Pokles celkového tlaku mezi vstupem a výstupem při jmenovité rychlosti proudění vzduchu.
 Indukční poměr	Indukční poměr v závislosti na vzdálenosti od difuzoru a směru výtlaku; indukční poměr (neboli poměr přisávaného vzduchu) je poměr objemového průtoku v trysce k objemovému průtoku ve vzduchové koncovce.
 Rychlost vzduchu v ose	Rychlost vzduchu v ose v závislosti na vzdálenosti od difuzoru a teplotním rozdílu; funkce vzdálenosti od difuzoru a rozdílu teploty přiváděného vzduchu a vzduchu v místnosti.
	
 Typ vzduchové koncovky - všeobecně	"Všeobecné atributy typu vzduchové koncovky.
Atribut HladinaZvuku vymazán v IFC2x2 Pset Addendum: Místo něj použijte IfcSoundProperties."
 Reference	Referenční ID pro tento určený typ v tomto projektu (např. typ „A-1“) za předpokladu, že není použita žádná klasifikační reference pro rozpoznaný klasifikační systém.
 Stav	Stav prvku, který se používá převážně při obnově nebo modifikování projektů. Stav může být označen jako „Nový“ - prvek navržený jako nové doplnění, „Stávající“ - prvek existuje a zůstává, „Zbourat“ - prvek existuje, ale má být zbourán, „Dočasný“ - prvek bude existovat pouze dočasně (jako dočasná nosná konstrukce).
 Tvar	Tvar vzduchové koncovky. Otvor je nejčastěji dlouhé úzké přívodní zařízení s poměrem stran obecně větším než 10 k 1.
 Typ čelní plochy	Udává způsob konstrukce čelní plochy vzduchové koncovky.
 Šířka otvoru	Šířka otvoru.
 Délka otvoru	Délka otvoru.
 Počet otvorů	Počet otvorů.
 Charakter proudění	Charakter proudění.
 Rozsah průtokové rychlosti vzduchu	Rozsah průtokové rychlosti vzduchu, pro který je navržen provoz vzduchové koncovky.
 Rozsah teplot	Rozsah teplot, pro který je navržen provoz vzduchové koncovky.
 Směr výtlaku	"Směr výtlaku ze vzduchové koncovky.

Paralelní: výtlak rovnoběžně s povrchem pro upevnění navrženým tak, aby se proud udržel na povrchu.
Kolmý: výtlak směrem od povrchu pro upevnění.
Nastavitelný: paralelní i kolmý výtlak."
 Délka dosahu	Vodorovná nebo svislá osová vzdálenost, kterou urazí proud vzduchu po opuštění vzduchové koncovky, než maximální rychlost proudění poklesne na stanovenou konečnou rychlost za izotermických podmínek při horní hodnotě rozsahu průtokových rychlostí vzduchu.
 Index rozptylu vzduchu	Index rozptylu vzduchu (ADPI) se používá pro podmínky režimu chlazení. Pokud se v obsazené prostorové zóně provádí několik měření rychlosti a teploty vzduchu, představuje ADPI procentuální hodnotu měřených míst, která splňují předepsané hodnoty účinné teploty odtahu a rychlosti vzduchu.
 Typ povrchové úpravy	Typ povrchové úpravy vzduchové koncovky.
 Barva povrchové úpravy	Barva povrchové úpravy vzduchové koncovky.
 Typ upevnění	"Způsob upevnění vzduchové koncovky na strop, zeď atd.

Povrch: upevnění na povrch něčeho (např. zdi, kanálového vedení atd.).
Zapuštění: upevnění zarovnané s povrchem.
Vložení: upevnění do podhledu (např. do sníženého podstropního chladiče)."
 Typ jádra	Udává způsob konstrukce jádra vzduchové koncovky.
 Horizontální nastavení v jádru	Stupeň odklonu lopatky od vodorovné osy (osy x lokálního umístění).
 Vertikální nastavení v jádru	Stupeň odklonu lopatky od svislé osy (osy y lokálního umístění).
 Má integrované ovládání	Pokud je TRUE, je součástí vzduchové koncovky ovládání teploty s vlastním napájením.
 Typ řízení průtoku	Typ prvku řízení průtoku, který může být zařazen jako součást konstrukce vzduchové koncovky.
 Má tlumič zvuku	Pokud je TRUE, vzduchová koncovka má tlumič zvuku.
 Má tepelnou izolaci	Pokud je TRUE, vzduchová koncovka má tepelnou izolaci.
 Plocha hrdla	Plocha hrdla vzduchové koncovky.
 Účinná plocha	Účinná plocha výtlaku ze vzduchové koncovky.
 Průtoková rychlost vzduchu v závislosti na prvku řízení průtoku	Průtoková rychlost vzduchu v závislosti na poloze prvku řízení průtoku při poklesu jmenovitého tlaku.
	
 Historie provozu rekuperace tepla typu vzduch-vzduch	Všeobecné atributy historie provozu rekuperace tepla typu vzduch-vzduch.
 Zjevná účinnost	Zjevná účinnost přenosu tepla, kde účinnost je definována jako poměr přenosu tepla k maximálnímu možnému přenosu tepla.
 Celková účinnost	Celková účinnost přenosu tepla: Poměr přenosu tepla k maximálnímu možnému přenosu tepla.
 Teplotní účinnost	Teplotní účinnost přenosu tepla: Poměr změn teploty primárního proudu vzduchu k maximálním možným změnám teploty.
 Teplotní účinnost odmrazování	Teplotní účinnost přenosu tepla, je-li aktivní odmrazování.
 Vlhkostní účinnost	Vlhkostní účinnost přenosu tepla: Poměr změn absolutní vlhkosti primárního proudu vzduchu k maximálním možným změnám absolutní vlhkosti.
 Rychlost přenosu zjevného tepla	Rychlost přenosu zjevného tepla.
 Rychlost přenosu latentního tepla	Rychlost přenosu latentního tepla.
 Rychlost přenosu celkového tepla	Rychlost přenosu celkového tepla.
 Tabulka zjevných účinností	Křivka účinnosti přenosu zjevného tepla jako funkce průtokové rychlosti primárního a sekundárního vzduchu.
 Tabulka celkových účinností	Křivka účinnosti přenosu celkového tepla jako funkce průtokové rychlosti primárního a sekundárního vzduchu.
 Křivky poklesu tlaku vzduchu	Pokles tlaku vzduchu jako funkce průtokové rychlosti vzduchu.
	
 Typ rekuperace tepla vzduch-vzduch - všeobecně	Všeobecné atributy rekuperace tepla typu vzduch-vzduch.
 Reference	Referenční ID pro tento určený typ v tomto projektu (např. typ „A-1“) za předpokladu, že není použita žádná klasifikační reference pro rozpoznaný klasifikační systém.
 Stav	Stav prvku, který se používá převážně při obnově nebo modifikování projektů. Stav může být označen jako „Nový“ - prvek navržený jako nové doplnění, „Stávající“ - prvek existuje a zůstává, „Zbourat“ - prvek existuje, ale má být zbourán, „Dočasný“ - prvek bude existovat pouze dočasně (jako dočasná nosná konstrukce).
 Výčet typů přenosu tepla	Typ přenosu tepla mezi dvěma proudy vzduchu.
 Má odmrazování	Zda má výměník tepla funkci odmrazování či nikoli.
 Rozsah provozních teplot	Přípustný rozsah provozní okolní teploty vzduchu.
 Rozsah průtokové rychlosti primárního vzduchu	Možný rozsah průtokových rychlostí primárního vzduchu, který lze dopravovat.
 Rozsah průtokové rychlosti sekundárního vzduchu	Možný rozsah průtokových rychlostí sekundárního vzduchu, který lze dopravovat.
	
 Historie provozu alarmu	Vlastnosti historie hodnot alarmu.  HISTORIE: Přidáno do IFC4.
 Povoleno	Udává, zda je alarm v průběhu času povolen nebo zakázán.
 Podmínka	Udává podmínku alarmového stavu v průběhu času.  Rozsah možných hodnot a jejich významů definuje stav Pset_VšeobecnýTypAlarmu.  Prázdná hodnota označuje nepřítomnost alarmového stavu.
 Závažnost	Udává závažnost alarmu v průběhu času, kdy je rozsah hodnot určen konfigurací řídicího systému.  Nulová hodnota označuje nepřítomnost alarmu.
 Potvrdit	Udává stav potvrzení, kdy False označuje, že potvrzení je nutné, ale doposud nezadané, True označuje, že stav byl potvrzen, a Unknown označuje, že potvrzení není nutné.  Po resetování stavu se potvrzení vrátí na hodnotu Unknown.
 Uživatel	Označuje potvrzujícího uživatele v průběhu času označením, které odpovídá identifikaci IfcPerson.Identification v entitě IfcActor.
	
 Typ alarmu - všeobecně	Všeobecné atributy typu alarmu.  HISTORIE: Přidáno do IFC4.
 Reference	Referenční ID pro tento určený typ v tomto projektu (např. typ „A-1“) za předpokladu, že není použita žádná klasifikační reference pro rozpoznaný klasifikační systém.
 Stav	Stav prvku, který se používá převážně při obnově nebo modifikování projektů. Stav může být označen jako „Nový“ - prvek navržený jako nové doplnění, „Stávající“ - prvek existuje a zůstává, „Zbourat“ - prvek existuje, ale má být zbourán, „Dočasný“ - prvek bude existovat pouze dočasně (jako dočasná nosná konstrukce).
 Podmínka	Tabulka mapující identifikátory alarmového stavu do popisků, které je možné použít pro interpretaci Pset_HistorieProvozuAlarmu.Stav.
	
 Obrys poznámky	Určuje parametry standardní křivky, která má jednu konzistentní hodnotu míry.
 Hodnota obrysu	Hodnota výšky obrysu nad referenční rovinou nebo pod ní.
	
 Anotační záměrná přímka	Určuje vlastnosti záměrné přímky v místě spojení dvou prvků. Nejčastěji slouží k definování viditelnosti záměrné přímky v místě spojení dvou silnic (zejména mezi příjezdovou cestou a veřejnou komunikací).
 Vzdálenost odstupu	Vzdálenost odstupu od místa napojení na hlavní prvek na ose vedlejšího prvku (např. vzdálenost od veřejné komunikace, na níž se měří záměrná přímka).
 Zorný úhel vlevo	Zorný úhel nalevo od místa přístupu.
 Zorný úhel vpravo	Zorný úhel napravo od místa přístupu.
 Dohlednost na komunikaci vlevo	Viditelná vzdálenost nalevo od místa přístupu.
 Dohlednost na komunikaci vpravo	Viditelná vzdálenost napravo od místa přístupu.
	
 Anotační plocha průzkumu	Určuje konkrétní vlastnosti metod průzkumu, které budou přiřazeny bodové množině průzkumu nebo výsledným částem povrchu
 Metoda pořízení	Způsob, kterým byla pořízena data z průzkumu.
 Získaná kvalita přesnosti	Míra získané kvality přesnosti bodů průzkumu vyjádřená v procentech.
 Předpokládaná kvalita přesnosti	Míra předpokládané kvality přesnosti bodů průzkumu vyjádřená v procentech.
	
 Nemovitost	Nemovitost je jedinečně identifikovatelný prvek, který má finanční hodnotu a pro nějž se zapisují činnosti údržby.
 Typ účtování o nemovitosti	Udává předdefinované typy rizik, ze kterých lze zvolit požadovaný typ.
 Typ daně z nemovitosti	Udává předdefinované typy daňových skupin, ze kterých lze zvolit požadovaný typ.
 Typ pojištění nemovitosti	Udává předdefinované typy pojistných sazeb, ze kterých lze zvolit požadovaný typ.
	
 Historie provozu audiovizuálního přístroje	V reálném čase zachycuje informace pro audiovizuální zařízení, například záznam z bezpečnostní kamery a displeje s maloobchodními údaji.  HISTORIE: Přidáno do IFC4.
 Stav napájení	Udává stav napájení zařízení, kde True je zapnuto a False vypnuto.
 Mediální zdroj	Udává mediální zdroj, kde identifikátor odpovídá položce z tabulky dostupných mediálních zdrojů v entitě Pset_VšeobecnýTypAudiovizuálníhoPřístroje.MediálníZdroj.
 Mediální obsah	Udává umístění úložiště mediálního obsahu, např. URL pro záznam z kamer v určitých časových intervalech.
 Hlasitost zvuku	Udává úroveň hlasitosti zvuku, kde úroveň vyjádřená celým číslem odpovídá položce nebo interpolaci v entitě Pset_VšeobecnýTypAudiovizuálníhoPřístroje.HlasitostZvuku.
	
 Zesilovač typu audiovizuálního přístroje	Audiovizuální zesilovač je zařízení, které převádí zvukový signál z jednoho externího zdroje připojeného z portu.  HISTORIE: Přidáno do IFC4.
 Typ zesilovače	Udává typ zesilovače.
 Zesílení zvuku	Udává kmitočtová pásma zesílení zvuku.
 Zvukový režim	Udává zvukové režimy a odpovídající popisky, je-li to relevantní.
	
 Kamera typu audiovizuálního přístroje	Audiovizuální kamera je zařízení, které zachycuje videozáznam, např. z důvodu ostrahy.  HISTORIE: Přidáno do IFC4.
 Typ kamery	Udává typ kamery.
 Je venku	Udává, zda se má kamera používat venku.
 Šířka rozlišení obrazu	Udává počet horizontálních pixelů (největší šířku nativního rozlišení obrazu).
 Výška rozlišení obrazu	Udává počet vertikálních pixelů (největší výšku nativního rozlišení obrazu).
 Režim rozlišení obrazu	Udává režimy rozlišení obrazu.
 Interval záchytu obrazu	Udává časové intervaly záchytu videosnímků.
 Předvolba rozšíření, sklonu, přiblížení	Udává předvolby pozice rozšíření, sklonu a přiblížení.
 Horizontální rozšíření	Udává rozsah vodorovného rozšíření.
 Vertikální rozšíření	Udává rozsah svislého rozšíření.
 Horizontální sklon	Udává horizontální rozsah otáčení, kde kladné hodnoty označují otáčení kamery ve směru hodinových ručiček.
 Vertikální sklon	Udává vertikální rozsah otáčení, kde 0,0 je vodorovně, +90 stupňů je pohled nahoru a -90 je pohled dolů.
 Přiblížení	Udává rozsah přiblížení.
	
 Typ audiovizuálního přístroje - všeobecně	Audiovizuální přístroj je zařízení, které převádí nebo zachycuje zvuk a/nebo obraz.  HISTORIE: Přidáno do IFC4.
 Reference	Referenční ID pro tento určený typ v tomto projektu (např. typ „A-1“) za předpokladu, že není použita žádná klasifikační reference pro rozpoznaný klasifikační systém.
 Stav	Stav prvku, který se používá převážně při obnově nebo modifikování projektů. Stav může být označen jako „Nový“ - prvek navržený jako nové doplnění, „Stávající“ - prvek existuje a zůstává, „Zbourat“ - prvek existuje, ale má být zbourán, „Dočasný“ - prvek bude existovat pouze dočasně (jako dočasná nosná konstrukce).
 Mediální zdroj	Udává mediální zdroje a odpovídající názvy portů (IfcDistributionPort s FlowDirection=SINK a PredefinedType=AUDIOVISUAL) nebo souhrnné komponenty zvuku/obrazu (IfcAudioVisualAppliance).
 Hlasitost zvuku	Udává diskrétní úrovně hlasitosti zvuku a odpovídající odchylky akustického výkonu, je-li to relevantní.  Chybějící hodnoty lze interpolovat.
	
 Displej typu audiovizuálního přístroje	Audiovizuální displej je zařízení, které přenáší obraz z obrazovky.  HISTORIE: Přidáno do IFC4.
 Typ displeje	Udává typ displeje.
 Jmenovitá velikost	Udává rozměr úhlopříčky obrazovky.
 Šířka displeje	Udává fyzickou šířku obrazovky (pouze povrchu displeje).
 Výška displeje	Udává fyzickou výšku obrazovky (pouze povrchu displeje).
 Jas	Udává jas displeje.
 Kontrastní poměr	Udává kontrastní poměr displeje.
 Obnovovací frekvence	Udává obnovovací frekvenci displeje.
 Dotyková obrazovka	Udává podporu dotykové obrazovky.
 Šířka rozlišení obrazu	Udává počet horizontálních pixelů, např. 1920.
 Výška rozlišení obrazu	Udává počet vertikálních pixelů, např. 1080.
 Režim rozlišení obrazu	Udává režimy rozlišení obrazu.
 Režim videoscalingu	Udává režimy videoscalingu.
 Titulkovací režim	Udává režimy titulků videa.
 Zvukový režim	Udává zvukové režimy a odpovídající popisky, je-li to relevantní.
	
 Přehrávač typu audiovizuálního přístroje	Audiovizuální přehrávač je zařízení, které z uloženého nosiče přehrává zvukový a/nebo obrazový záznam, například záznam z kamery v bezpečnostních systémech, zvukovou kulisu v prodejnách nebo mediální prezentaci v konferenčních místnostech či sálech.  HISTORIE: Přidáno do IFC4.
 Typ přehrávače	Udává typ přehrávače.
 Vysunutí nosiče z přehrávače	Udává, zda lze nosič vysunout z přehrávače (když se jedná o fyzický nosič).
 Formát nosiče přehrávače	Udává podporované formáty nosiče.
	
 Projektor typu audiovizuálního přístroje	Audiovizuální projektor je zařízení, které promítá obraz na plochu.  HISTORIE: Přidáno do IFC4.
 Typ projektoru	Udává typ projektoru.
 Šířka rozlišení obrazu	Udává počet horizontálních pixelů (největší šířku nativního rozlišení obrazu).
 Výška rozlišení obrazu	Udává počet vertikálních pixelů (největší výšku nativního rozlišení obrazu).
 Režim rozlišení obrazu	Udává režimy rozlišení obrazu.
 Režim videoscalingu	Udává režimy videoscalingu.
 Titulkovací režim	Udává režimy titulků.
	
 Přijímač typu audiovizuálního přístroje	Audiovizuální přijímač je zařízení, které přepíná zvuk a/nebo obraz z několika zdrojů včetně externích zdrojů připojených z portů a interních spojených zdrojů.  HISTORIE: Přidáno do IFC4.
 Typ přijímače	Udává typ přijímače.
 Zesílení zvuku	Udává kmitočtová pásma zesílení zvuku.
 Zvukový režim	Udává zvukové režimy a odpovídající popisky, je-li to relevantní.
	
 Reproduktor typu audiovizuálního přístroje	Audiovizuální reproduktor je zařízení, které převádí zesílené zvukové signály na zvukové vlny.  HISTORIE: Přidáno do IFC4.
 Typ reproduktoru	Udává typ reproduktoru.
 Upevnění reproduktoru	Udává navržený způsob upevnění reproduktoru.
 Velikost driveru reproduktoru	Udává počet driverů a jejich velikosti.
 Frekvenční odezva	Udává výstup ve stanoveném rozsahu frekvencí.
 Impedance	Udává impedanci reproduktoru.
	
 Tuner typu audiovizuálního přístroje	Audiovizuální tuner je zařízení, které demoduluje signál na zvukový a/nebo obrazový tok.  HISTORIE: Přidáno do IFC4.
 Typ tuneru	Udává typ tuneru.
 Režim tuneru	Udává režimy (nebo pásma) tuneru.  Například, 'AnalogovýKabel', 'DigitálníVzduch', 'AM', 'FM'.
 Kanál tuneru	Udává kanály tuneru, je-li to relevantní.
 Frekvence tuneru	Udává frekvence tuneru, je-li to relevantní.
	
 Nosník - všeobecně	Všeobecné vlastnosti k definici všech výskytů a typů objektů nosníku.
 Reference	Referenční ID pro tento určený typ v tomto projektu (např. typ „A-1“), také označován jako „konstrukční typ“. Musí být poskytnuta jako alternativa k názvu „typ objektu“, pokud software typy objektů nepodporuje.
 Stav	Stav prvku, který se používá převážně při obnově nebo modifikování projektů. Stav může být označen jako „Nový“ - prvek navržený jako nové doplnění, „Stávající“ - prvek existuje a zůstává, „Zbourat“ - prvek existuje, ale má být zbourán, „Dočasný“ - prvek bude existovat pouze dočasně (jako dočasná nosná konstrukce).
 Rozpětí	"Světlé rozpětí pro tento objekt.

Informace o tvaru jsou poskytnuty navíc k zobrazení tvaru a použitým geometrickým parametrům. V případě nesouladu mezi geometrickými parametry a vlastnostmi tvaru, poskytnutými v přiložené vlastnosti, mají přednost geometrické parametry. U aplikací pro editaci geometrie, např. CAD: tato hodnota by měla být jen pro zápis."
 Sklon	"Úhel sklonu - vztažený k horizontále (0,0 stupňů).

Informace o tvaru jsou poskytnuty navíc k zobrazení tvaru a použitým geometrickým parametrům. V případě nesouladu mezi geometrickými parametry a vlastnostmi tvaru, poskytnutými v přiložené vlastnosti, mají přednost geometrické parametry.  U aplikací pro editaci geometrie, např. CAD: tato hodnota by měla být jen pro zápis."
 Naklonění	"Otočení vůči podélné ose - vztažené na globální směr Z pro všechny nosníky, které nejsou vertikální vzhledem ke globálnímu souřadnicovému systému (pro směr profilu rovnající se globálnímu Z je Naklonění rovno 0).

Informace o tvaru jsou poskytnuty navíc k zobrazení tvaru a použitým geometrickým parametrům. V případě nesouladu mezi geometrickými parametry a vlastnostmi tvaru, poskytnutými v přiložené vlastnosti, mají přednost geometrické parametry.  U aplikací pro editaci geometrie, např. CAD: tato hodnota by měla být jen pro zápis.

Poznámka: nová vlastnost v IFC4"
 Je venkovní	Udává, zda je prvek navržený pro použití ve venkovním prostředí (TRUE) nebo není (FALSE). Pokud platí (TRUE), jedná se o venkovní prvek a je orientován směrem ven z budovy.
 Součinitel prostupu tepla	"Součinitel prostupu tepla (hodnota U) daného prvku. Zde je to celkový součinitel prostupu tepla nosníkem ve směru tepelného toku (včetně všech materiálů).

Poznámka: nová vlastnost v IFC4"
 Nosnost	Udává, zda je objekt určen k nesení zátěže (TRUE) nebo nikoli (FALSE).
 Požární odolnost	Požární odolnost tohoto prvku. Udává se podle národní klasifikace požární bezpečnosti.
	
 Historie provozu kotle	"Všeobecné atributy historie provozu kotle.
Atribut KvalitaVody vymazán v IFC2x2 Pset Addendum: Místo něj použijte IfcWaterProperties. Atributy MaxZátěžProduktySpalování a ČástečnáZátěžProduktySpalování vymazány v IFC2x2 Pset Addendum: Místo toho použijte IfcProductsOfCombustionProperties."
 Spotřeba zdroje energie	Spotřeba energie.
 Provozní účinnost	Provozní účinnost: výkon kotle vydělený celkovým příkonem (elektřina a palivo).
 Účinnost spalování	Účinnost spalování za jmenovitých podmínek.
 Pracovní tlak	Pracovní tlak kotle.
 Teplota spalování	Průměrná teplota ve spalovací komoře.
 Poměr částečného zatížení	Poměr skutečné a jmenovité kapacity.
 Zatížení	Skutečné zatížení kotle.
